// gen_hazards --polygon=-150,-75:-150,-400:400,-400:400,-75 
//             --objects=12,hazard --objects=600,benign --exp=4

source = file:hazards_lab14.txt
hazard = x=0,y=-10,type=benign,label=9999,hr=0.001
hazard = x=0,y=-20,type=benign,label=8888,hr=0.99

hazard = x=-77,y=-362,type=hazard,label=42,hazard=true
hazard = x=-57,y=-101,type=hazard,label=11,hazard=true
hazard = x=161,y=-330,type=hazard,label=57,hazard=true
hazard = x=390,y=-308,type=hazard,label=21,hazard=true
hazard = x=347,y=-300,type=hazard,label=79,hazard=true
hazard = x=-3,y=-384,type=hazard,label=78,hazard=true
hazard = x=32,y=-233,type=hazard,label=51,hazard=true
hazard = x=383,y=-87,type=hazard,label=95,hazard=true
hazard = x=-100,y=-141,type=hazard,label=96,hazard=true
hazard = x=115,y=-260,type=hazard,label=52,hazard=true
hazard = x=157,y=-335,type=hazard,label=32,hazard=true
hazard = x=11,y=-394,type=hazard,label=34,hazard=true
hazard = x=-69,y=-162,type=benign,label=6,hr=0.00985,hazard=false
hazard = x=157,y=-233,type=benign,label=66,hr=0.65902,hazard=false
hazard = x=263,y=-111,type=benign,label=94,hr=0.03324,hazard=false
hazard = x=-122,y=-368,type=benign,label=35,hr=0.00349,hazard=false
hazard = x=-88,y=-79,type=benign,label=10,hr=0.90369,hazard=false
hazard = x=30,y=-241,type=benign,label=41,hr=0.01661,hazard=false
hazard = x=-82,y=-238,type=benign,label=0,hr=0.67675,hazard=false
hazard = x=104,y=-218,type=benign,label=80,hr=0.00029,hazard=false
hazard = x=188,y=-264,type=benign,label=69,hr=0.01717,hazard=false
hazard = x=236,y=-357,type=benign,label=44,hr=0.1296,hazard=false
hazard = x=251,y=-205,type=benign,label=98,hr=0.761,hazard=false
hazard = x=-10,y=-88,type=benign,label=1,hr=0.02717,hazard=false
hazard = x=-40,y=-81,type=benign,label=84,hr=0,hazard=false
hazard = x=329,y=-97,type=benign,label=2,hr=0.40147,hazard=false
hazard = x=-119,y=-163,type=benign,label=45,hr=0.23466,hazard=false
hazard = x=38,y=-352,type=benign,label=67,hr=0.00191,hazard=false
hazard = x=-128,y=-251,type=benign,label=33,hr=0.00139,hazard=false
hazard = x=395,y=-355,type=benign,label=23,hr=0.26135,hazard=false
hazard = x=326,y=-329,type=benign,label=3,hr=0.00051,hazard=false
hazard = x=118,y=-294,type=benign,label=48,hr=0.00013,hazard=false
hazard = x=381,y=-199,type=benign,label=26,hr=0.04838,hazard=false
hazard = x=0,y=-228,type=benign,label=19,hr=0.18746,hazard=false
hazard = x=180,y=-202,type=benign,label=37,hr=0.85645,hazard=false
hazard = x=-6,y=-251,type=benign,label=55,hr=0.15161,hazard=false
hazard = x=136,y=-193,type=benign,label=85,hr=0.02434,hazard=false
hazard = x=33,y=-145,type=benign,label=20,hr=0.08566,hazard=false
hazard = x=-141,y=-246,type=benign,label=81,hr=0.49787,hazard=false
hazard = x=110,y=-393,type=benign,label=70,hr=0.0222,hazard=false
hazard = x=10,y=-81,type=benign,label=92,hr=0.01075,hazard=false
hazard = x=-102,y=-176,type=benign,label=14,hr=0.07482,hazard=false
hazard = x=359,y=-275,type=benign,label=18,hr=0.38362,hazard=false
hazard = x=362,y=-77,type=benign,label=38,hr=0.89262,hazard=false
hazard = x=-95,y=-250,type=benign,label=43,hr=0.00173,hazard=false
hazard = x=-22,y=-81,type=benign,label=58,hr=0.11161,hazard=false
hazard = x=264,y=-194,type=benign,label=7,hr=0.75451,hazard=false
hazard = x=339,y=-272,type=benign,label=5,hr=0.54447,hazard=false
hazard = x=350,y=-237,type=benign,label=90,hr=0.00035,hazard=false
hazard = x=79,y=-91,type=benign,label=16,hr=0.00564,hazard=false
hazard = x=395,y=-266,type=benign,label=8,hr=0.0004,hazard=false
hazard = x=171,y=-244,type=benign,label=25,hr=0.54447,hazard=false
hazard = x=-39,y=-246,type=benign,label=68,hr=0.03647,hazard=false
hazard = x=111,y=-177,type=benign,label=61,hr=0.00948,hazard=false
hazard = x=32,y=-366,type=benign,label=39,hr=0.00508,hazard=false
hazard = x=395,y=-84,type=benign,label=36,hr=0.33892,hazard=false
hazard = x=215,y=-201,type=benign,label=40,hr=0.91486,hazard=false
hazard = x=79,y=-398,type=benign,label=12,hr=0.00002,hazard=false
hazard = x=308,y=-187,type=benign,label=30,hr=0.43903,hazard=false
hazard = x=94,y=-168,type=benign,label=93,hr=0.24985,hazard=false
hazard = x=37,y=-219,type=benign,label=86,hr=0.22405,hazard=false
hazard = x=-30,y=-169,type=benign,label=22,hr=0.89262,hazard=false
hazard = x=285,y=-80,type=benign,label=64,hr=0.00094,hazard=false
hazard = x=32,y=-175,type=benign,label=27,hr=0.00002,hazard=false
hazard = x=142,y=-296,type=benign,label=4,hr=0.32321,hazard=false
hazard = x=-82,y=-315,type=benign,label=73,hr=0.00222,hazard=false
hazard = x=-118,y=-108,type=benign,label=89,hr=0.00014,hazard=false
hazard = x=238,y=-258,type=benign,label=47,hr=0.001,hazard=false
hazard = x=177,y=-274,type=benign,label=24,hr=0.42413,hazard=false
hazard = x=-113,y=-213,type=benign,label=72,hr=0.01062,hazard=false
hazard = x=38,y=-319,type=benign,label=28,hr=0.56765,hazard=false
hazard = x=153,y=-148,type=benign,label=46,hr=0.00032,hazard=false
hazard = x=-125,y=-129,type=benign,label=82,hr=0.27934,hazard=false
hazard = x=31,y=-365,type=benign,label=53,hr=0.00001,hazard=false
hazard = x=371,y=-207,type=benign,label=54,hr=0.07655,hazard=false
hazard = x=261,y=-312,type=benign,label=88,hr=0.00002,hazard=false
hazard = x=389,y=-253,type=benign,label=97,hr=0.15554,hazard=false
hazard = x=96,y=-116,type=benign,label=76,hr=0.13397,hazard=false
hazard = x=-86,y=-204,type=benign,label=87,hr=0.03141,hazard=false
hazard = x=344,y=-287,type=benign,label=75,hr=0.18975,hazard=false
hazard = x=-122,y=-333,type=benign,label=60,hr=0.0011,hazard=false
hazard = x=374,y=-300,type=benign,label=29,hr=0,hazard=false
hazard = x=111,y=-255,type=benign,label=91,hr=0.83878,hazard=false
hazard = x=322,y=-315,type=benign,label=99,hr=0.0009,hazard=false
hazard = x=242,y=-337,type=benign,label=56,hr=0.05907,hazard=false
hazard = x=187,y=-104,type=benign,label=31,hr=0.39346,hazard=false
hazard = x=192,y=-264,type=benign,label=62,hr=0.07144,hazard=false
hazard = x=22,y=-320,type=benign,label=77,hr=0.00024,hazard=false
hazard = x=-142,y=-103,type=benign,label=63,hr=0.06872,hazard=false
hazard = x=-21,y=-258,type=benign,label=74,hr=0,hazard=false
hazard = x=-24,y=-132,type=benign,label=59,hr=0.1909,hazard=false
hazard = x=-118,y=-344,type=benign,label=17,hr=0.02434,hazard=false
hazard = x=90,y=-191,type=benign,label=49,hr=0.46776,hazard=false
hazard = x=33,y=-119,type=benign,label=9,hr=0.06712,hazard=false
hazard = x=7,y=-178,type=benign,label=83,hr=0.0027,hazard=false
hazard = x=164,y=-348,type=benign,label=15,hr=0.73209,hazard=false
hazard = x=27,y=-326,type=benign,label=13,hr=0.66489,hazard=false
hazard = x=-142,y=-336,type=benign,label=71,hr=0.10119,hazard=false
hazard = x=204,y=-339,type=benign,label=65,hr=0.58084,hazard=false
hazard = x=-149,y=-203,type=benign,label=50,hr=0.57554,hazard=false
hazard = x=252,y=-90,type=benign,label=847,hr=0.18182,hazard=false
hazard = x=31,y=-387,type=benign,label=422,hr=0.09352,hazard=false
hazard = x=-64,y=-104,type=benign,label=826,hr=0.00001,hazard=false
hazard = x=360,y=-245,type=benign,label=917,hr=0.43473,hazard=false
hazard = x=-77,y=-319,type=benign,label=579,hr=0.00397,hazard=false
hazard = x=114,y=-88,type=benign,label=381,hr=0.0023,hazard=false
hazard = x=52,y=-121,type=benign,label=510,hr=0.00061,hazard=false
hazard = x=51,y=-390,type=benign,label=942,hr=0.46325,hazard=false
hazard = x=213,y=-187,type=benign,label=308,hr=0.00924,hazard=false
hazard = x=143,y=-260,type=benign,label=186,hr=0.02152,hazard=false
hazard = x=112,y=-319,type=benign,label=347,hr=0.12449,hazard=false
hazard = x=61,y=-138,type=benign,label=385,hr=0.73845,hazard=false
hazard = x=376,y=-255,type=benign,label=468,hr=0.00187,hazard=false
hazard = x=83,y=-188,type=benign,label=697,hr=0.10119,hazard=false
hazard = x=399,y=-365,type=benign,label=648,hr=0.00187,hazard=false
hazard = x=-45,y=-262,type=benign,label=977,hr=0.75451,hazard=false
